epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.76,1.24254,2.05898,1.89249,0.51953,0.66667,0.69348,0.41006,1.7576,2.87401,2.53183,0.000189535,0.000189535,0.000189535
43,90.2615,1.1662,2.49663,1.71674,0.45653,0.66667,0.67562,0.36975,1.67527,2.87,2.16319,0.000184255,0.000184255,0.000184255
44,92.4297,0.92077,1.87678,1.441,0.45653,0.66667,0.67562,0.36975,1.67527,2.87,2.16319,0.000178504,0.000178504,0.000178504
45,94.7265,1.06832,2.57629,1.71244,0.90517,0.66667,0.995,0.41316,1.64439,2.81147,1.93966,0.00017228,0.00017228,0.00017228
46,96.8348,0.99513,1.77032,1.63147,0.90517,0.66667,0.995,0.41316,1.64439,2.81147,1.93966,0.000165585,0.000165585,0.000165585
47,99.0117,1.14634,1.92087,1.64156,0.91954,0.66667,0.995,0.54014,1.71215,2.59506,1.86668,0.000158419,0.000158419,0.000158419
48,101.201,1.05421,2.23362,1.62886,0.91954,0.66667,0.995,0.54014,1.71215,2.59506,1.86668,0.000150781,0.000150781,0.000150781
49,103.388,1.00233,2.10289,1.76559,0.92761,0.66667,0.995,0.57331,1.76774,2.37347,1.88161,0.000142671,0.000142671,0.000142671
50,105.504,1.34227,2.01541,1.58922,0.92761,0.66667,0.995,0.57331,1.76774,2.37347,1.88161,0.00013409,0.00013409,0.00013409
51,107.7,0.77474,2.47211,1.36718,0.93676,0.66667,0.995,0.57212,1.77708,2.27337,1.85063,0.000125037,0.000125037,0.000125037
52,109.889,0.96921,2.73909,1.58842,0.93676,0.66667,0.995,0.57212,1.77708,2.27337,1.85063,0.000115513,0.000115513,0.000115513
53,112.13,0.97949,2.60305,1.39298,0.93676,0.66667,0.995,0.57212,1.77708,2.27337,1.85063,0.000105517,0.000105517,0.000105517
54,114.17,1.03167,2.70176,1.74057,0.9428,0.66667,0.82917,0.45144,1.75236,2.23226,1.78013,9.50499e-05,9.50499e-05,9.50499e-05
55,116.195,0.81059,2.25439,1.43276,0.9428,0.66667,0.82917,0.45144,1.75236,2.23226,1.78013,8.41109e-05,8.41109e-05,8.41109e-05
56,118.254,0.78898,2.25887,1.36649,0.9428,0.66667,0.82917,0.45144,1.75236,2.23226,1.78013,7.27004e-05,7.27004e-05,7.27004e-05
57,120.313,0.84815,2.52509,1.64192,0.94382,0.66667,0.995,0.56604,1.70329,2.23075,1.73101,6.08182e-05,6.08182e-05,6.08182e-05
58,122.293,0.87283,2.48275,1.50076,0.94382,0.66667,0.995,0.56604,1.70329,2.23075,1.73101,4.84645e-05,4.84645e-05,4.84645e-05
59,124.251,0.89258,2.45818,1.48812,0.94382,0.66667,0.995,0.56604,1.70329,2.23075,1.73101,3.56393e-05,3.56393e-05,3.56393e-05
60,126.157,0.78696,2.46764,1.31547,0.9449,0.66667,0.82917,0.44982,1.68304,2.25946,1.70941,2.23424e-05,2.23424e-05,2.23424e-05
